,Source,Destination,Protocol,Src_port,Dest_port,Flow_count,Flow_size,pkt_size_of_first_flow,Flow_duration,first_flow_inter_arrival_time,pkt_size_to_flow_size,isSelfish
0,0.0.0.0,255.255.255.255,DHCP,-1,-1,279,95418,342,3335.924975,0.005128,0.0035842293906810036,0
1,1.1.247.102,103.119.242.114,TCP,-1,-1,5,330,66,293.814945,0.135032,0.2,0
2,1.1.247.102,103.119.242.114,TCP,4001,4001,1,66,66,254.990643,0.747853,1.0,0
3,1.156.246.187,103.119.242.114,UDP,37186,32478,1,331,331,1821.708214,0.227403,1.0,0
4,1.164.136.162,103.119.242.114,UDP,7536,32478,1,143,143,950.648788,3.748469,1.0,0
5,1.38.73.165,103.119.242.114,TCP,-1,-1,1,66,66,372.954566,0.175654,1.0,0
6,1.38.73.165,103.119.242.114,TCP,54669,4001,1,66,66,369.944262,0.103218,1.0,0
7,101.174.146.44,103.119.242.114,UDP,17126,32478,1,148,148,1069.645543,0.095458,1.0,0
8,101.175.19.91,103.119.242.114,UDP,10972,32478,1,331,331,1835.71774,0.225905,1.0,0
9,101.227.200.11,103.119.242.114,HTTP,-1,-1,32,9952,311,1906.448951,0.124353,0.03125,0
10,101.227.200.11,103.119.242.114,TCP,-1,-1,7,438,60,1278.751687,0.066271,0.136986301369863,0
11,101.227.200.11,103.119.242.114,TCP,80,49699,1,60,60,38.88714,0.010983,1.0,0
12,101.227.200.11,103.119.242.114,TCP,80,50708,3,186,66,115.596066,0.17863,0.3548387096774194,0
13,101.227.200.11,103.119.242.114,TCP,80,51184,1,66,66,191.96185,0.070777,1.0,0
14,101.227.200.11,103.119.242.114,TCP,80,51269,3,186,66,77.438169,0.780547,0.3548387096774194,0
15,101.227.200.11,103.119.242.114,TCP,80,51773,3,186,66,118.175293,0.005925,0.3548387096774194,0
16,101.227.200.11,103.119.242.114,TCP,80,52136,3,186,66,125.834294,0.012323,0.3548387096774194,0
17,101.227.200.11,103.119.242.114,TCP,80,52880,3,186,66,114.976614,0.016016,0.3548387096774194,0
18,101.227.200.11,103.119.242.114,TCP,80,53493,3,186,66,117.37909,0.015838,0.3548387096774194,0
19,101.227.200.11,103.119.242.114,TCP,80,53872,3,186,66,120.452811,0.050349,0.3548387096774194,0
20,101.227.200.11,103.119.242.114,TCP,80,54383,3,186,66,116.984047,0.057462,0.3548387096774194,0
21,101.227.200.11,103.119.242.114,TCP,80,54962,3,186,66,125.465816,0.200754,0.3548387096774194,0
22,101.227.200.11,103.119.242.114,TCP,80,55398,3,186,66,126.906513,0.027234,0.3548387096774194,0
23,101.227.200.11,103.119.242.114,TCP,80,56100,3,186,66,118.60472,0.14632,0.3548387096774194,0
24,101.251.218.35,103.119.242.114,HTTP,-1,-1,2,802,448,275.630137,0.064973,0.5586034912718204,0
25,101.251.218.35,103.119.242.114,TCP,80,52197,2,126,66,30.457023,0.214268,0.5238095238095238,0
26,101.251.218.35,103.119.242.114,TCP,80,52907,2,126,66,30.461895,0.463342,0.5238095238095238,0
27,101.255.60.73,103.119.242.114,ICMP,-1,-1,19,1786,94,3200.275201,0.356851,0.05263157894736842,0
28,101.51.217.128,103.119.242.114,TCP,4001,4001,6,360,60,1601.786637,0.397096,0.16666666666666666,0
29,101.51.217.128,103.119.242.114,TCP,4001,54628,3,180,60,1.796971,0.010152,0.3333333333333333,0
30,101.51.217.128,103.119.242.114,TCP,4001,58822,3,180,60,1.780275,0.080601,0.3333333333333333,0
31,101.87.73.144,103.119.242.114,TCP,-1,-1,1,66,66,2798.578419,0.339095,1.0,0
32,101.87.73.144,103.119.242.114,TCP,7637,4001,1,66,66,2795.577295,0.228105,1.0,0
33,101.88.207.142,103.119.242.114,TCP,-1,-1,1,66,66,2977.764556,0.352083,1.0,0
34,101.88.207.142,103.119.242.114,TCP,40791,4001,1,66,66,2974.769073,0.948508,1.0,0
35,102.134.117.4,103.119.242.114,TCP,-1,-1,5,330,66,1828.869178,0.595929,0.2,0
36,102.134.117.4,103.119.242.114,TCP,4001,4001,1,66,66,400.346342,1.879599,1.0,0
37,102.135.208.110,103.119.242.114,TCP,-1,-1,13,858,66,1290.13345,0.154712,0.07692307692307693,0
38,102.135.208.110,103.119.242.114,TCP,4001,4001,1,66,66,154.976822,0.092711,1.0,0
39,102.142.21.16,103.119.242.114,TCP,-1,-1,1,66,66,2994.568234,0.802763,1.0,0
40,102.142.21.16,103.119.242.114,TCP,4001,4001,1,66,66,2991.555954,0.017674,1.0,0
41,102.250.6.236,103.119.242.114,TCP,-1,-1,1,66,66,2134.118779,0.020674,1.0,0
42,102.250.6.236,103.119.242.114,TCP,33625,4001,1,66,66,2131.119773,0.186842,1.0,0
43,103.10.28.200,103.119.242.114,TCP,-1,-1,1,66,66,852.721411,0.482613,1.0,0
44,103.10.28.200,103.119.242.114,TCP,41964,4001,1,66,66,849.355031,0.662051,1.0,0
45,103.100.130.21,103.119.242.114,TCP,-1,-1,3,198,66,8.542524,0.060984,0.3333333333333333,0
46,103.100.130.21,103.119.242.114,TCP,1024,4001,1,66,66,2022.405246,0.371442,1.0,0
47,103.104.170.24,103.119.242.114,HTTP,-1,-1,19,9646,511,125.152836,0.815892,0.05297532656023222,0
48,103.104.170.24,103.119.242.114,TCP,80,55126,4,246,66,0.367398,0.051712,0.2682926829268293,0
49,103.104.170.24,103.119.242.114,TCP,80,55127,4,246,66,0.367726,0.000169,0.2682926829268293,0
50,103.104.170.24,103.119.242.114,TCP,80,55128,4,246,66,0.859126,0.029799,0.2682926829268293,0
51,103.104.170.24,103.119.242.114,TCP,80,55133,11,666,66,87.005896,0.045417,0.0990990990990991,0
52,103.104.170.24,103.119.242.114,TCP,80,55134,4,246,66,0.365539,0.014248,0.2682926829268293,0
53,103.104.170.24,103.119.242.114,TCP,80,55135,8,486,66,46.080307,0.020629,0.13580246913580246,0
54,103.104.170.24,103.119.242.114,TCP,80,55261,13,786,66,117.260944,0.080498,0.08396946564885496,0
55,103.104.170.24,103.119.242.114,TCP,80,55262,4,246,66,35.785797,0.01491,0.2682926829268293,0
56,103.104.170.24,103.119.242.114,TCP,80,55263,13,786,66,114.662033,0.000105,0.08396946564885496,0
57,103.108.79.2,103.119.242.114,TCP,-1,-1,5,330,66,2262.819465,0.38624,0.2,0
58,103.108.79.2,103.119.242.114,TCP,4001,4001,1,66,66,673.926499,0.116386,1.0,0
59,103.110.168.85,103.119.242.114,TCP,-1,-1,3,198,66,712.569321,1.779934,0.3333333333333333,0
60,103.110.168.85,103.119.242.114,TCP,34470,4001,1,66,66,1267.774936,0.563065,1.0,0
61,103.110.168.85,103.119.242.114,TCP,35268,4001,1,66,66,1518.291495,2.12719,1.0,0
62,103.110.168.85,103.119.242.114,TCP,39007,4001,1,66,66,1980.350521,0.075218,1.0,0
63,103.113.153.21,103.119.242.114,UDP,14664,32478,1,148,148,2147.228491,0.012574,1.0,0
64,103.113.155.34,103.119.242.120,TCP,64951,445,1,66,66,693.254969,0.111536,1.0,0
65,103.119.1.175,103.119.242.114,TCP,56696,445,1,62,62,1695.718943,0.213563,1.0,0
66,103.119.1.175,103.119.242.120,TCP,62405,445,1,62,62,3215.705781,1.992207,1.0,0
67,103.119.129.203,103.119.242.120,TCP,57698,445,1,66,66,1497.338655,0.238823,1.0,0
68,103.119.141.100,103.119.242.114,TCP,16061,445,1,66,66,2516.985785,0.085506,1.0,0
69,103.119.141.100,103.119.242.120,TCP,11644,445,1,66,66,2517.021783,0.035998,1.0,0
70,103.119.141.131,103.119.242.114,TCP,62859,445,1,62,62,1358.421599,1.142181,1.0,0
71,103.119.141.131,103.119.242.120,TCP,22438,445,1,62,62,1358.427749,0.00615,1.0,0
72,103.119.141.151,103.119.242.114,TCP,58852,8291,1,60,60,1374.566987,0.093657,1.0,0
73,103.119.141.151,103.119.242.114,TCP,9745,7547,1,60,60,1660.573693,0.074984,1.0,0
74,103.119.141.151,103.119.242.120,TCP,48280,23,1,60,60,924.56546,1.253479,1.0,0
75,103.119.141.207,103.119.242.114,TCP,40976,7547,1,60,60,2264.946696,0.023281,1.0,0
76,103.119.141.207,103.119.242.114,TCP,43028,7547,1,60,60,414.980966,0.210301,1.0,0
77,103.119.141.207,103.119.242.114,TCP,43667,8291,1,60,60,2339.940923,0.198952,1.0,0
78,103.119.141.207,103.119.242.120,TCP,14708,8291,1,60,60,2292.941596,0.159465,1.0,0
79,103.119.141.207,103.119.242.120,TCP,21301,8291,1,60,60,507.975991,0.081069,1.0,0
80,103.119.141.207,103.119.242.120,TCP,2715,23,1,60,60,1566.96362,1.526348,1.0,0
81,103.119.141.207,103.119.242.120,TCP,33700,7547,1,60,60,2682.930114,0.432726,1.0,0
82,103.119.141.228,103.119.242.114,TCP,38494,7547,1,60,60,2455.014036,0.291396,1.0,0
83,103.119.141.228,103.119.242.114,TCP,43957,7547,1,60,60,996.019276,0.437939,1.0,0
84,103.119.141.228,103.119.242.114,TCP,4570,23,1,60,60,2689.011822,0.319489,1.0,0
85,103.119.141.228,103.119.242.120,TCP,18933,23,1,60,60,1495.015487,1.803683,1.0,0
86,103.119.141.228,103.119.242.120,TCP,20171,8291,1,60,60,1987.016271,0.35568,1.0,0
87,103.119.141.228,103.119.242.120,TCP,21148,8291,1,60,60,2618.005489,0.521252,1.0,0
88,103.119.141.228,103.119.242.120,TCP,56675,7547,1,60,60,852.017863,0.203529,1.0,0
89,103.119.145.45,103.119.242.120,TCP,3893,7547,1,60,60,2265.644803,0.00451,1.0,0
90,103.119.145.45,103.119.242.120,TCP,5654,8291,1,60,60,874.700134,0.101624,1.0,0
91,103.119.145.45,103.119.242.120,TCP,59343,23,1,60,60,3311.635118,0.342916,1.0,0
92,103.119.145.54,103.119.242.114,TCP,30036,7547,1,60,60,3033.506065,0.439615,1.0,0
93,103.119.145.54,103.119.242.114,TCP,58013,23,1,60,60,1672.499137,0.658568,1.0,0
94,103.119.145.54,103.119.242.120,TCP,11161,23,1,60,60,2077.498314,0.712786,1.0,0
95,103.119.145.54,103.119.242.120,TCP,11944,7547,1,60,60,3143.490537,0.325083,1.0,0
96,103.119.145.54,103.119.242.120,TCP,35328,8291,1,60,60,2591.494299,0.000359,1.0,0
97,103.119.2.153,103.119.242.114,TCP,49945,445,1,66,66,2442.652977,0.104536,1.0,0
98,103.119.2.153,103.119.242.114,TCP,53571,445,1,66,66,392.358868,0.114624,1.0,0
99,103.119.2.153,103.119.242.114,TCP,64644,445,1,66,66,3312.251805,0.349864,1.0,0
100,103.119.2.153,103.119.242.120,TCP,49569,445,1,66,66,2642.30181,0.460558,1.0,0
101,103.119.2.153,103.119.242.120,TCP,51342,445,1,66,66,321.244044,0.14815,1.0,0
102,103.119.2.153,103.119.242.120,TCP,55129,445,1,66,66,2220.503669,0.022303,1.0,0
103,103.119.230.3,103.119.242.120,TCP,56551,445,1,66,66,301.726968,1.986912,1.0,0
104,103.119.230.3,103.119.242.120,TCP,63218,445,1,66,66,1189.064457,0.593554,1.0,0
105,103.119.24.116,103.119.242.120,TCP,50628,7547,1,60,60,2275.710322,1.134873,1.0,0
106,103.119.24.116,103.119.242.120,TCP,62642,8291,1,60,60,802.737734,1.444662,1.0,0
107,103.119.24.122,103.119.242.114,TCP,52880,7547,1,60,60,1581.714666,0.236096,1.0,0
108,103.119.24.122,103.119.242.114,TCP,59994,23,1,60,60,625.746411,0.024145,1.0,0
109,103.119.242.101,103.119.242.114,ICMP,-1,-1,1,95,95,416.260077,0.015559,1.0,0
110,103.119.242.113,103.119.242.114,ICMP,-1,-1,677,40710,60,3334.994391,0.001788,0.0014738393515106854,0
111,103.119.242.114,1.156.246.187,UDP,32478,37186,1,145,145,1821.480811,0.940413,1.0,0
112,103.119.242.114,101.175.19.91,UDP,32478,10972,1,145,145,1835.491835,1.341089,1.0,0
113,103.119.242.114,101.200.38.101,TCP,-1,-1,2,132,66,6.000376,0.323332,0.5,0
114,103.119.242.114,101.200.38.101,TCP,56167,80,1,66,66,1947.020258,1.195734,1.0,0
115,103.119.242.114,101.227.177.152,UDP,5041,6903,1,98,98,3230.72256,0.611147,1.0,0
116,103.119.242.114,101.227.200.11,HTTP,-1,-1,22,30799,1285,1908.590242,0.001109,0.04172213383551414,0
