Source,Destination,Protocol,Src_port,Dest_port,Flow_count,Flow_size,pkt_size_of_first_flow,Flow_duration,first_flow_inter_arrival_time
0.0.0.0,255.255.255.255,DHCP,-1,-1,279,95418,342,3335.924975,0.005128
1.1.247.102,103.119.242.114,TCP,-1,-1,5,330,66,293.814945,0.135032
1.1.247.102,103.119.242.114,TCP,4001,4001,1,66,66,254.990643,0.747853
1.156.246.187,103.119.242.114,UDP,37186,32478,1,331,331,1821.708214,0.227403
1.164.136.162,103.119.242.114,UDP,7536,32478,1,143,143,950.648788,3.748469
1.38.73.165,103.119.242.114,TCP,-1,-1,1,66,66,372.954566,0.175654
1.38.73.165,103.119.242.114,TCP,54669,4001,1,66,66,369.944262,0.103218
101.174.146.44,103.119.242.114,UDP,17126,32478,1,148,148,1069.645543,0.095458
101.175.19.91,103.119.242.114,UDP,10972,32478,1,331,331,1835.71774,0.225905
101.227.200.11,103.119.242.114,HTTP,-1,-1,32,9952,311,1906.448951,0.124353
101.227.200.11,103.119.242.114,TCP,-1,-1,7,438,60,1278.751687,0.066271
101.227.200.11,103.119.242.114,TCP,80,49699,1,60,60,38.88714,0.010983
101.227.200.11,103.119.242.114,TCP,80,50708,3,186,66,115.596066,0.17863
101.227.200.11,103.119.242.114,TCP,80,51184,1,66,66,191.96185,0.070777
101.227.200.11,103.119.242.114,TCP,80,51269,3,186,66,77.438169,0.780547
101.227.200.11,103.119.242.114,TCP,80,51773,3,186,66,118.175293,0.005925
101.227.200.11,103.119.242.114,TCP,80,52136,3,186,66,125.834294,0.012323
101.227.200.11,103.119.242.114,TCP,80,52880,3,186,66,114.976614,0.016016
101.227.200.11,103.119.242.114,TCP,80,53493,3,186,66,117.37909,0.015838
101.227.200.11,103.119.242.114,TCP,80,53872,3,186,66,120.452811,0.050349
101.227.200.11,103.119.242.114,TCP,80,54383,3,186,66,116.984047,0.057462
101.227.200.11,103.119.242.114,TCP,80,54962,3,186,66,125.465816,0.200754
101.227.200.11,103.119.242.114,TCP,80,55398,3,186,66,126.906513,0.027234
101.227.200.11,103.119.242.114,TCP,80,56100,3,186,66,118.60472,0.14632
101.251.218.35,103.119.242.114,HTTP,-1,-1,2,802,448,275.630137,0.064973
101.251.218.35,103.119.242.114,TCP,80,52197,2,126,66,30.457023,0.214268
101.251.218.35,103.119.242.114,TCP,80,52907,2,126,66,30.461895,0.463342
101.255.60.73,103.119.242.114,ICMP,-1,-1,19,1786,94,3200.275201,0.356851
101.51.217.128,103.119.242.114,TCP,4001,4001,6,360,60,1601.786637,0.397096
101.51.217.128,103.119.242.114,TCP,4001,54628,3,180,60,1.796971,0.010152
101.51.217.128,103.119.242.114,TCP,4001,58822,3,180,60,1.780275,0.080601
101.87.73.144,103.119.242.114,TCP,-1,-1,1,66,66,2798.578419,0.339095
101.87.73.144,103.119.242.114,TCP,7637,4001,1,66,66,2795.577295,0.228105
101.88.207.142,103.119.242.114,TCP,-1,-1,1,66,66,2977.764556,0.352083
